word	pos	zh	category	en	cn
detect	v.	发现；检测	科技与研究	Sensors can detect small changes in water quality.	传感器可以检测水质的微小变化。
tremendous	adj.	巨大的	科技与研究	The discovery created tremendous interest among medical researchers.	这一发现引起了医学研究人员的极大兴趣。
awareness	n.	意识；认识	环境与能源	School projects can raise awareness of environmental problems.	学校项目可以提高人们对环境问题的认识。
withdraw	v.	撤回；退出	学术与论证	Participants may withdraw from the study at any time.	参与者可以随时退出研究。
mutual	adj.	相互的；共同的	文化与交流	Successful cooperation depends on mutual respect and trust.	成功的合作取决于相互尊重与信任。
finance	n.	资金；金融	经济与工作	Access to finance helps small firms develop new products.	获得资金有助于小企业开发新产品。
relevant	adj.	相关的	学术与论证	The essay should include evidence relevant to the question.	文章应包含与问题相关的证据。
protest	n.	抗议	社会与政策	The peaceful protest drew attention to rising housing costs.	和平抗议使人们关注不断上涨的住房成本。
insight	n.	深入了解；洞察	学术与论证	Interviews provide insight into how residents use public spaces.	访谈使人们深入了解居民如何使用公共空间。
extensive	adj.	广泛的；大量的	科技与研究	The proposal is based on extensive research and consultation.	这项提案以广泛的研究和咨询为基础。
considerable	adj.	相当大的	经济与工作	The new system has generated considerable savings.	新系统节省了相当多的费用。
prior	adj.	先前的	学术与论证	No prior experience is required to join the workshop.	参加工作坊不需要先前的经验。
intellectual	adj.	智力的；思想的	教育与学习	Universities should encourage intellectual curiosity and independent thought.	大学应鼓励求知欲和独立思考。
characterise	v.	描述……的特点	学术与论证	Several common features characterise successful community projects.	成功的社区项目具有若干共同特点。
external	adj.	外部的	经济与工作	External demand has a strong influence on export industries.	外部需求对出口行业有很大影响。
controversy	n.	争议	社会与政策	The proposed development has caused controversy among local residents.	拟议的开发项目在当地居民中引发了争议。
alter	v.	改变	环境与能源	Warmer temperatures can alter the timing of plant growth.	气温升高可能改变植物生长的时间。
prominent	adj.	突出的；重要的	文化与交流	Public libraries play a prominent role in community life.	公共图书馆在社区生活中发挥重要作用。
presentation	n.	展示；演示	教育与学习	A clear presentation helps the audience follow complex arguments.	清晰的演示帮助听众理解复杂论证。
elderly	adj.	年老的	社会与政策	The service helps elderly residents remain independent.	这项服务帮助老年居民保持独立生活。
violate	v.	违反	社会与政策	Companies that violate safety rules may face substantial fines.	违反安全规定的企业可能面临巨额罚款。
distinction	n.	区别	学术与论证	The report makes a distinction between correlation and causation.	报告区分了相关性与因果关系。
segment	n.	部分；群体	经济与工作	This market segment is particularly sensitive to price changes.	这一细分市场对价格变化尤为敏感。
variation	n.	变化；差异	学术与论证	The data reveal considerable variation between regions.	数据显示地区之间存在相当大的差异。
correspondent	n.	记者；通讯员	文化与交流	The correspondent interviewed residents affected by the new policy.	记者采访了受新政策影响的居民。
vessel	n.	船舶；容器	城市与交通	The research vessel collects samples from deep ocean waters.	这艘科考船从深海水域采集样本。
storage	n.	储存	科技与研究	Better energy storage makes renewable power more reliable.	更好的储能技术使可再生能源发电更加可靠。
distribute	v.	分配；分发	社会与政策	Local volunteers distribute supplies to isolated communities.	当地志愿者向偏远社区分发物资。
vulnerable	adj.	脆弱的；易受伤害的	社会与政策	The policy provides additional support for vulnerable households.	该政策为弱势家庭提供额外支持。
stability	n.	稳定	经济与工作	Economic stability allows firms to plan long-term investments.	经济稳定使企业能够规划长期投资。
framework	n.	框架	学术与论证	The framework helps researchers compare different education systems.	该框架帮助研究人员比较不同的教育体系。
ongoing	adj.	持续的	科技与研究	Ongoing research will assess the long-term effects of the treatment.	持续开展的研究将评估治疗的长期效果。
psychology	n.	心理学	教育与学习	Psychology can help explain how people make decisions.	心理学可以帮助解释人们如何作出决定。
sustain	v.	维持；支撑	经济与工作	Small businesses need reliable demand to sustain growth.	小企业需要可靠的需求来维持增长。
frequency	n.	频率	城市与交通	Increasing bus frequency can make public transport more attractive.	增加公交班次可以提高公共交通的吸引力。
preference	n.	偏好	经济与工作	The survey reveals a preference for locally produced food.	调查显示人们偏好本地生产的食品。
qualify	v.	取得资格；符合条件	教育与学习	Applicants must complete practical training to qualify for the role.	申请者必须完成实践培训才能胜任这一职位。
derive	v.	获得；源自	学术与论证	Researchers derive conclusions from carefully collected evidence.	研究人员从仔细收集的证据中得出结论。
resemble	v.	类似；像	科技与研究	The new material can resemble wood without using trees.	这种新材料无需使用树木就能呈现类似木材的外观。
guideline	n.	指导原则	社会与政策	Each guideline explains how to protect personal information.	每项指导原则都说明如何保护个人信息。
conviction	n.	坚定的信念	文化与交流	Her conviction that education matters motivated years of volunteer work.	她对教育重要性的坚定信念激励了多年的志愿工作。
maintenance	n.	维护；保养	城市与交通	Regular maintenance extends the life of public infrastructure.	定期维护延长了公共基础设施的使用寿命。
ratio	n.	比率	学术与论证	The ratio of students to teachers varies between institutions.	不同机构的师生比有所不同。
narrative	n.	叙述	文化与交流	A personal narrative can make historical events more accessible.	个人叙述可以让历史事件更容易理解。
modest	adj.	适度的；不大的	经济与工作	A modest investment can produce substantial improvements in efficiency.	适度的投资可以大幅提高效率。
prompt	v.	促使	社会与政策	Public feedback may prompt officials to revise the proposal.	公众反馈可能促使官员修改提案。
motivation	n.	动力；动机	教育与学习	Clear goals can strengthen a student's motivation to learn.	明确的目标可以增强学生的学习动力。
overlook	v.	忽视	学术与论证	Large surveys sometimes overlook the needs of smaller communities.	大型调查有时会忽视较小社区的需求。
undergo	v.	经历；接受	科技与研究	New products undergo extensive testing before release.	新产品在发布前接受广泛测试。
sequence	n.	顺序	学术与论证	The diagram shows the sequence of steps in production.	图示展示了生产步骤的顺序。
assert	v.	断言；主张	学术与论证	Some researchers assert that context matters more than individual ability.	一些研究人员主张环境比个人能力更重要。
dominant	adj.	占主导地位的	经济与工作	Tourism is the dominant source of income in the region.	旅游业是该地区占主导地位的收入来源。
anticipate	v.	预期；预料	经济与工作	Businesses must anticipate changes in consumer demand.	企业必须预判消费者需求的变化。
legitimate	adj.	合理的；合法的	社会与政策	Residents have legitimate concerns about increased traffic noise.	居民对交通噪音增加的担忧是合理的。
orientation	n.	方向；入门培训	教育与学习	The orientation programme helps new students understand university services.	入学培训项目帮助新生了解大学服务。
cluster	n.	群；集群	科技与研究	A cluster of technology firms has developed near the university.	大学附近形成了一个科技企业集群。
dependent	adj.	依赖的	经济与工作	The local economy is heavily dependent on tourism.	当地经济高度依赖旅游业。
depict	v.	描绘	文化与交流	The paintings depict everyday life in a changing city.	这些画作描绘了变化中的城市日常生活。
mortgage	n.	住房抵押贷款	经济与工作	Higher interest rates increase the cost of a mortgage.	利率上升增加了住房抵押贷款的成本。
sanction	n.	制裁；处罚	社会与政策	A trade sanction can affect businesses beyond the targeted industry.	贸易制裁可能影响目标行业以外的企业。
civilian	n.	平民	社会与政策	Emergency shelters should be accessible to every civilian.	紧急避难所应方便每位平民使用。
devote	v.	投入；致力于	教育与学习	Students should devote time to reviewing difficult concepts.	学生应投入时间复习难懂的概念。
measurement	n.	测量	科技与研究	Precise measurement helps researchers detect small changes.	精确测量帮助研究人员发现微小变化。
summit	n.	峰会；顶峰	社会与政策	The climate summit focused on practical forms of cooperation.	气候峰会聚焦于切实可行的合作方式。
impressive	adj.	令人印象深刻的	科技与研究	The new design achieved impressive reductions in energy use.	新设计显著降低了能源使用量。
portray	v.	描绘；刻画	文化与交流	Documentaries can portray experiences that rarely receive public attention.	纪录片可以呈现很少受到公众关注的经历。
subsequent	adj.	随后的	学术与论证	Subsequent research confirmed the importance of the original findings.	后续研究证实了最初发现的重要性。
frequent	adj.	频繁的	城市与交通	Frequent delays discourage commuters from using public transport.	频繁延误使通勤者不愿使用公共交通。
rhythm	n.	节奏	健康与生活	A regular sleep rhythm supports concentration during the day.	规律的睡眠节奏有助于白天集中注意力。
exceed	v.	超过	经济与工作	The final cost may exceed the original estimate.	最终成本可能超过最初的估计。
script	n.	脚本；剧本	文化与交流	The script was revised to make the message clearer.	脚本经过修改，使信息更加清晰。
tactic	n.	策略；手段	经济与工作	Offering free samples is a common marketing tactic.	提供免费样品是一种常见的营销策略。
identification	n.	识别；身份证明	科技与研究	Accurate identification of defects can reduce material waste.	准确识别缺陷可以减少材料浪费。
margin	n.	差额；余地	经济与工作	Rising material costs have reduced the company's profit margin.	材料成本上涨降低了公司的利润率。
prescription	n.	处方	健康与生活	The pharmacist explained how to follow the prescription safely.	药剂师解释了如何安全地按照处方用药。
recruit	v.	招聘；招募	经济与工作	Local firms struggle to recruit workers with technical skills.	当地企业难以招聘具备技术技能的员工。
colonial	adj.	殖民时期的	文化与交流	The museum examines the city's colonial history.	博物馆研究了这座城市的殖民时期历史。
reinforce	v.	加强；巩固	教育与学习	Practical exercises reinforce the concepts introduced in lectures.	实践练习巩固了讲座中介绍的概念。
confusion	n.	困惑；混乱	文化与交流	Clear instructions can prevent confusion among new users.	清晰的说明可以避免新用户感到困惑。
cognitive	adj.	认知的	健康与生活	Regular exercise may support cognitive health in older adults.	定期运动可能有助于维护老年人的认知健康。
attribute	v.	把……归因于	学术与论证	We should not attribute every change to a single cause.	我们不应将每个变化都归因于单一原因。
fitness	n.	健康；体能	健康与生活	Daily walking can improve physical fitness without expensive equipment.	每天步行无需昂贵设备就能改善体能。
container	n.	容器；集装箱	环境与能源	A reusable container can replace several disposable packages.	一个可重复使用的容器可以替代多个一次性包装。
highlight	v.	突出；强调	学术与论证	The results highlight the need for better public information.	结果强调了改善公共信息的必要性。
decrease	n.	减少	学术与论证	The chart records a steady decrease in water consumption.	图表记录了用水量的稳步下降。
alliance	n.	联盟	社会与政策	The alliance brings together organisations working on food security.	该联盟汇集了致力于粮食安全的组织。
compose	v.	创作；组成	文化与交流	Students compose short pieces using traditional musical instruments.	学生使用传统乐器创作短曲。
counsel	n.	建议；法律顾问	社会与政策	Independent legal counsel helps residents understand their rights.	独立法律顾问帮助居民了解自身权利。
sculpture	n.	雕塑	文化与交流	The public sculpture reflects the town's industrial heritage.	这座公共雕塑反映了该镇的工业遗产。
compound	n.	化合物	科技与研究	The compound breaks down naturally in sunlight.	这种化合物在阳光下会自然分解。
integrate	v.	整合；融入	教育与学习	Teachers can integrate digital resources into classroom activities.	教师可以将数字资源融入课堂活动。
subtle	adj.	微妙的	文化与交流	Subtle differences in wording can change how a message is understood.	措辞上的微妙差异可能改变人们对信息的理解。
curve	n.	曲线	学术与论证	The curve shows how demand changes as prices rise.	曲线显示了价格上涨时需求如何变化。
integrity	n.	诚信；完整性	学术与论证	Research integrity requires honest reporting of all results.	科研诚信要求如实报告所有结果。
entitle	v.	给予……权利	社会与政策	The membership will entitle residents to use shared facilities.	会员资格将赋予居民使用共享设施的权利。
exclude	v.	排除	学术与论证	The study does not exclude participants with limited digital skills.	该研究不排除数字技能有限的参与者。
harsh	adj.	严酷的；严厉的	环境与能源	Harsh weather conditions make farming difficult in this region.	严酷的天气条件使该地区的农业生产十分困难。
interior	n.	内部	城市与交通	The building's interior uses natural light to reduce energy consumption.	建筑内部利用自然光减少能源消耗。
reverse	v.	逆转	环境与能源	Restoring native vegetation can help reverse soil degradation.	恢复本地植被可以帮助逆转土壤退化。
initiate	v.	发起；开始	社会与政策	Residents can initiate projects to improve shared spaces.	居民可以发起项目来改善共享空间。
motivate	v.	激励	教育与学习	Meaningful feedback can motivate students to keep practising.	有意义的反馈可以激励学生继续练习。
render	v.	使成为	科技与研究	Software updates can render older equipment incompatible with new systems.	软件更新可能使旧设备无法兼容新系统。
seemingly	adv.	看似；表面上	学术与论证	A seemingly minor change can have substantial consequences.	一个看似微小的变化可能带来重大后果。
enforce	v.	执行；强制实施	社会与政策	Local authorities must enforce building safety standards consistently.	地方当局必须一致地执行建筑安全标准。
fraud	n.	欺诈	经济与工作	Clear verification procedures help protect customers from fraud.	明确的核验程序有助于保护客户免受欺诈。
contend	v.	主张；应对	学术与论证	Some experts contend that smaller classes improve learning outcomes.	一些专家主张小班教学能改善学习成果。
array	n.	一系列	科技与研究	The laboratory uses an array of sensors to monitor conditions.	实验室使用一系列传感器监测环境状况。
assemble	v.	组装；集合	科技与研究	Workers assemble the components before testing the final product.	工人在测试最终产品之前组装零部件。
inevitable	adj.	不可避免的	学术与论证	Some disruption is inevitable during major infrastructure repairs.	重大基础设施维修期间，一些干扰不可避免。
facilitate	v.	促进；使便利	文化与交流	Shared digital tools facilitate communication between international teams.	共享数字工具促进国际团队之间的沟通。
obstacle	n.	障碍	经济与工作	Limited access to credit remains an obstacle for small businesses.	获得信贷的机会有限仍是小企业面临的障碍。
ownership	n.	所有权	社会与政策	Shared ownership can make expensive equipment more accessible.	共同所有权可以使昂贵设备更易于获得。
supervisor	n.	主管；导师	教育与学习	The supervisor helped the student refine the research question.	导师帮助学生完善了研究问题。
arena	n.	领域；竞技场	社会与政策	The debate has moved into the international arena.	这场辩论已进入国际领域。
consult	v.	咨询；征求意见	社会与政策	Planners should consult residents before changing public spaces.	规划者在改变公共空间前应征求居民意见。
drift	v.	漂移；逐渐偏离	环境与能源	Plastic waste can drift far from its original source.	塑料废物可能漂流到远离其最初来源的地方。
drain	v.	排水；耗尽	城市与交通	Permeable surfaces allow rainwater to drain into the soil.	透水表面使雨水能够排入土壤。
questionnaire	n.	问卷	学术与论证	The questionnaire asks residents about their daily travel habits.	问卷询问居民的日常出行习惯。
privilege	n.	特权；特殊待遇	社会与政策	Access to education should not be a privilege for a few.	获得教育不应是少数人的特权。
domain	n.	领域	科技与研究	The tool applies knowledge from more than one domain.	该工具运用了不止一个领域的知识。
minimum	n.	最低限度	社会与政策	The policy sets a minimum for housing quality.	该政策为住房质量设定了最低标准。
database	n.	数据库	科技与研究	The database stores anonymous information about travel patterns.	该数据库存储有关出行模式的匿名信息。
chronic	adj.	慢性的；长期的	健康与生活	Regular monitoring helps patients manage chronic health conditions.	定期监测帮助患者管理慢性健康问题。
replacement	n.	替代品；更换	环境与能源	Repair is often less wasteful than complete replacement.	维修通常比完全更换产生的浪费更少。
strain	n.	压力；负担	社会与政策	Rapid population growth puts a strain on public services.	人口快速增长给公共服务带来负担。
administer	v.	管理；实施	社会与政策	Local organisations administer the grants for community projects.	地方组织管理社区项目的资助款项。
transmission	n.	传播；传输	科技与研究	Encryption protects information during transmission over public networks.	加密保护信息在公共网络传输过程中的安全。
trigger	v.	引发	环境与能源	Heavy rainfall can trigger flooding in low-lying areas.	强降雨可能引发低洼地区洪水。
virtual	adj.	虚拟的	教育与学习	Virtual laboratories allow students to practise experiments safely.	虚拟实验室让学生能够安全地练习实验。
indigenous	adj.	本土的；原住民的	文化与交流	The project preserves indigenous languages through community recordings.	该项目通过社区录音保护原住民语言。
particle	n.	微粒	环境与能源	A tiny particle of plastic can enter the food chain.	一颗微小的塑料颗粒可能进入食物链。
boost	v.	促进；提高	经济与工作	Improved rail links can boost regional trade.	改善铁路联系可以促进区域贸易。
undermine	v.	削弱	社会与政策	Misleading information can undermine trust in public institutions.	误导性信息可能削弱对公共机构的信任。
ballot	n.	选票；投票	社会与政策	Each member can submit a ballot on the proposed changes.	每位成员都可以就拟议变更投票。
rhetoric	n.	修辞；辞令	文化与交流	Effective rhetoric can persuade an audience without providing strong evidence.	有效的修辞可以在缺乏有力证据的情况下说服听众。
enthusiasm	n.	热情	教育与学习	The workshop generated enthusiasm for practical science.	工作坊激发了对实践科学的热情。
wilderness	n.	荒野	环境与能源	Responsible tourism can support the protection of wilderness areas.	负责任的旅游可以支持荒野地区的保护。
mandate	n.	授权；职责	社会与政策	The agency has a mandate to protect consumer interests.	该机构负有保护消费者利益的职责。
chaos	n.	混乱	城市与交通	Poor coordination can cause chaos during major road repairs.	协调不善可能在大型道路维修期间造成混乱。
format	n.	格式；形式	文化与交流	The report presents complex information in an accessible format.	报告以易于理解的形式呈现复杂信息。
canvas	n.	画布	文化与交流	The artist used a large canvas to depict urban change.	艺术家使用一幅大画布描绘城市变化。
lobby	v.	游说	社会与政策	Community groups lobby officials for safer cycling routes.	社区团体游说官员修建更安全的骑行路线。
trait	n.	特征	学术与论证	Curiosity is a useful trait in scientific research.	好奇心是科学研究中的一种有用特质。
currency	n.	货币	经济与工作	A weaker currency can make exports more competitive.	货币贬值可以使出口产品更具竞争力。
doctrine	n.	学说；信条	学术与论证	The lecture examines an economic doctrine and its limitations.	讲座考察了一种经济学说及其局限性。
genuine	adj.	真正的；真诚的	社会与政策	Genuine consultation gives residents a chance to influence decisions.	真正的协商让居民有机会影响决策。
exclusive	adj.	独有的；专用的	经济与工作	The company holds exclusive rights to distribute the product.	该公司拥有分销该产品的独家权利。
scatter	v.	散布；分散	环境与能源	Strong winds can scatter seeds across a wide area.	强风可以将种子散播到广阔区域。
convey	v.	传达	文化与交流	Simple diagrams can convey complex information quickly.	简单的图示可以迅速传达复杂信息。
residence	n.	住所；居住	城市与交通	The former factory has been converted into a student residence.	原来的工厂已改建为学生宿舍。
signature	n.	签名；显著特征	经济与工作	The agreement requires a signature from each partner.	该协议需要每位合作伙伴签名。
suspend	v.	暂停	社会与政策	The council may suspend construction until the safety review is complete.	市政委员会可能暂停施工，直到安全审查完成。
spouse	n.	配偶	社会与政策	The policy allows an employee's spouse to access support services.	该政策允许员工配偶获得支持服务。
fluid	adj.	不断变化的；流动的	经济与工作	The employment situation remains fluid as new industries emerge.	随着新行业出现，就业形势仍在不断变化。
resume	v.	恢复；重新开始	城市与交通	Rail services will resume after the maintenance work is complete.	维护工作完成后，铁路服务将恢复。
compensation	n.	补偿	经济与工作	Residents received compensation for the temporary loss of access.	居民因暂时无法通行而获得补偿。
dedicate	v.	投入；致力于	教育与学习	Researchers dedicate years to investigating complex problems.	研究人员投入多年时间调查复杂问题。
portfolio	n.	作品集；投资组合	教育与学习	The portfolio demonstrates practical skills developed during the course.	作品集展示了课程期间培养的实践技能。
invisible	adj.	看不见的	环境与能源	Some harmful pollutants are invisible to the human eye.	某些有害污染物是肉眼看不见的。
transaction	n.	交易	经济与工作	Each transaction is recorded to ensure financial transparency.	每笔交易都被记录下来，以确保财务透明。
counterpart	n.	对应的人或事物	学术与论证	The urban school has more resources than its rural counterpart.	这所城市学校比对应的农村学校拥有更多资源。
identical	adj.	完全相同的	学术与论证	The two groups received identical instructions before the experiment.	两组在实验前收到完全相同的指示。
precise	adj.	精确的	学术与论证	A precise definition prevents confusion during the discussion.	精确的定义可以避免讨论中的混淆。
structural	adj.	结构性的	社会与政策	Structural changes are needed to address persistent inequality.	解决持续的不平等需要结构性变革。
diagnose	v.	诊断	健康与生活	New tools help doctors diagnose conditions at an earlier stage.	新工具帮助医生在更早阶段诊断疾病。
conscious	adj.	意识到的；有意识的	环境与能源	Consumers are increasingly conscious of the impact of packaging.	消费者越来越意识到包装的影响。
acquisition	n.	获得；习得	教育与学习	Regular conversation supports the acquisition of a second language.	定期对话有助于第二语言习得。
wildlife	n.	野生生物	环境与能源	Green corridors help wildlife move between protected areas.	绿色廊道帮助野生生物在保护区之间迁移。
equity	n.	公平；股权	社会与政策	Education policy should promote equity as well as efficiency.	教育政策应同时促进公平与效率。
decent	adj.	体面的；像样的	社会与政策	Everyone should have access to decent housing and essential services.	每个人都应能获得体面的住房和基本服务。
endorse	v.	支持；认可	社会与政策	Independent experts endorse the proposal's emphasis on prevention.	独立专家支持该提案对预防的重视。
thereby	adv.	从而	环境与能源	The system reuses heat, thereby reducing overall energy demand.	该系统重复利用热量，从而降低整体能源需求。
indicator	n.	指标	学术与论证	Employment is one indicator of a region's economic health.	就业是衡量一个地区经济健康状况的指标之一。
spectrum	n.	范围；光谱	社会与政策	The survey includes views from a broad spectrum of residents.	调查涵盖了广泛居民群体的观点。
expertise	n.	专业知识	经济与工作	Small firms can benefit from the expertise of local universities.	小企业可以受益于当地大学的专业知识。
reluctant	adj.	不情愿的	经济与工作	Some employers are reluctant to invest in unfamiliar technology.	一些雇主不愿投资不熟悉的技术。
realm	n.	领域	学术与论证	The question extends beyond the realm of economics.	这个问题超出了经济学领域。
blend	v.	融合；混合	文化与交流	The design aims to blend modern materials with traditional forms.	该设计旨在将现代材料与传统形式融合。
therapist	n.	治疗师	健康与生活	The therapist develops an exercise plan for each patient.	治疗师为每位患者制定运动计划。
recipient	n.	接受者	社会与政策	Each recipient receives guidance on using the grant effectively.	每位受助者都会获得有效使用资助的指导。
metaphor	n.	隐喻；比喻	文化与交流	A familiar metaphor can help explain an unfamiliar concept.	熟悉的比喻可以帮助解释陌生的概念。
judicial	adj.	司法的	社会与政策	Judicial independence is important for public confidence in the law.	司法独立对公众信任法律十分重要。
entity	n.	实体	经济与工作	Each business entity must publish accurate financial information.	每个商业实体都必须公布准确的财务信息。
diminish	v.	减少；减弱	环境与能源	Water supplies may diminish during prolonged periods of drought.	长期干旱期间供水可能减少。
isolate	v.	隔离；分离	科技与研究	Researchers isolate individual factors to understand their effects.	研究人员分离单个因素，以了解它们的影响。
productive	adj.	高效的；富有成效的	经济与工作	A quiet workspace can make employees more productive.	安静的工作环境可以提高员工的工作效率。
inventory	n.	库存；清单	经济与工作	Accurate inventory records help shops avoid unnecessary waste.	准确的库存记录帮助商店避免不必要的浪费。
civic	adj.	公民的；城市的	社会与政策	Schools can encourage civic participation through local projects.	学校可以通过地方项目鼓励公民参与。
magnitude	n.	规模；程度	学术与论证	The report highlights the magnitude of the housing shortage.	报告强调了住房短缺的严重程度。
dynamic	adj.	不断变化的；有活力的	经济与工作	A dynamic economy creates opportunities for new businesses.	充满活力的经济为新企业创造机会。
equation	n.	方程；等式	学术与论证	The equation describes the relationship between price and demand.	该方程描述了价格与需求之间的关系。
shortage	n.	短缺	社会与政策	A shortage of trained staff can delay essential services.	受过培训的员工短缺可能延误基本服务。
undertake	v.	承担；从事	科技与研究	The team will undertake a detailed investigation of the problem.	团队将对该问题展开详细调查。
oversee	v.	监督	社会与政策	An independent board will oversee the use of public funds.	一个独立委员会将监督公共资金的使用。
nominee	n.	被提名者	社会与政策	Each nominee must explain their priorities to the committee.	每位被提名者都必须向委员会解释自己的工作重点。
toxic	adj.	有毒的	环境与能源	Factories must prevent toxic waste from entering rivers.	工厂必须防止有毒废物进入河流。
donate	v.	捐赠	社会与政策	Local businesses donate equipment to community training centres.	当地企业向社区培训中心捐赠设备。
parental	adj.	父母的	教育与学习	Parental involvement can support a child's learning at home.	父母参与可以支持孩子在家的学习。
specialise	v.	专门从事	教育与学习	Students can specialise in environmental policy after their first year.	学生可以在第一学年后专攻环境政策。
dilemma	n.	两难处境	学术与论证	The city faces a dilemma between development and conservation.	该城市面临发展与保护之间的两难选择。
liability	n.	法律责任；负债	经济与工作	The agreement clearly defines liability for damaged equipment.	协议明确规定了设备损坏的责任。
ancestor	n.	祖先	文化与交流	The exhibition explores how each ancestor shaped local traditions.	展览探讨了每位祖先如何塑造当地传统。
condemn	v.	谴责	社会与政策	Consumer groups condemn misleading claims about product safety.	消费者团体谴责有关产品安全的误导性宣传。
statute	n.	成文法；法规	社会与政策	The statute establishes minimum standards for workplace safety.	这项法规确立了工作场所安全的最低标准。
hostile	adj.	敌对的；不利的	经济与工作	A hostile working environment can damage employee wellbeing.	充满敌意的工作环境可能损害员工身心健康。
conceive	v.	构想	科技与研究	Designers must conceive solutions that meet different users' needs.	设计师必须构想满足不同用户需求的解决方案。
bonus	n.	奖金；额外好处	经济与工作	The bonus rewards employees for reducing material waste.	这项奖金奖励减少材料浪费的员工。
vaccine	n.	疫苗	健康与生活	The vaccine programme aims to reach remote communities.	疫苗项目旨在覆盖偏远社区。
orbit	n.	轨道	科技与研究	The satellite follows an orbit that enables regular climate observations.	该卫星沿着能够定期观测气候的轨道运行。
revelation	n.	揭示；被揭露的事实	学术与论证	The revelation prompted a review of the organisation's procedures.	这一事实的揭露促使该组织审查其程序。
concede	v.	承认；让步	学术与论证	The authors concede that their sample is relatively small.	作者承认他们的样本相对较小。
spectacular	adj.	壮观的；惊人的	文化与交流	The spectacular landscape attracts visitors throughout the year.	壮观的景色全年吸引着游客。
exotic	adj.	外来的；异国的	环境与能源	Introducing exotic plants can disrupt a local ecosystem.	引入外来植物可能扰乱当地生态系统。
secular	adj.	世俗的；非宗教的	文化与交流	The museum explores both religious and secular traditions.	博物馆同时探索宗教和世俗传统。
flexible	adj.	灵活的	经济与工作	Flexible schedules help employees balance work and family responsibilities.	灵活的时间安排帮助员工平衡工作与家庭责任。
manipulate	v.	操纵；操作	文化与交流	Misleading images can manipulate public perceptions of an event.	误导性图像可以操纵公众对事件的看法。
practitioner	n.	从业者	健康与生活	An experienced practitioner can adapt treatment to individual needs.	经验丰富的从业者可以根据个人需要调整治疗。
isolation	n.	孤立；隔离	社会与政策	Community activities can reduce social isolation among older residents.	社区活动可以减少老年居民的社会孤立感。
ambition	n.	抱负；志向	教育与学习	Her ambition is to improve access to rural education.	她的志向是改善农村教育机会。
costly	adj.	代价高的	城市与交通	Delaying maintenance can lead to costly repairs later.	推迟维护可能导致日后昂贵的维修费用。
ambitious	adj.	有雄心的	环境与能源	The city has set ambitious targets for reducing emissions.	该城市制定了雄心勃勃的减排目标。
presumably	adv.	大概；据推测	学术与论证	The difference presumably reflects unequal access to training.	这一差异大概反映了培训机会的不平等。
metropolitan	adj.	大都市的	城市与交通	Metropolitan areas often require integrated transport planning.	大都市地区往往需要一体化的交通规划。
dissolve	v.	溶解；解散	科技与研究	The substance will dissolve when mixed with warm water.	这种物质与温水混合后会溶解。
aesthetic	adj.	审美的	文化与交流	The design balances practical needs with aesthetic considerations.	该设计兼顾实际需要和审美因素。
insert	v.	插入	学术与论证	Writers should insert examples where an explanation needs support.	作者应在解释需要支撑的地方加入例子。
minimal	adj.	最少的；极小的	环境与能源	The building was designed to have minimal environmental impact.	该建筑旨在尽量减少环境影响。
anonymous	adj.	匿名的	学术与论证	Anonymous responses can encourage participants to share honest opinions.	匿名回答可以鼓励参与者分享真实看法。
momentum	n.	势头；动量	社会与政策	The recycling campaign gained momentum after local schools joined.	当地学校加入后，回收活动发展势头增强。
donation	n.	捐赠	社会与政策	The donation will fund new equipment for the library.	这笔捐款将资助图书馆购置新设备。
interact	v.	互动；相互作用	教育与学习	Students learn how different factors interact in an ecosystem.	学生学习不同因素如何在生态系统中相互作用。
persist	v.	持续；坚持	社会与政策	Regional inequalities may persist without long-term investment.	没有长期投资，区域不平等可能持续存在。
foster	v.	培养；促进	教育与学习	Group projects can foster cooperation and independent thinking.	小组项目可以培养合作精神和独立思考能力。
filter	v.	过滤	科技与研究	The device uses a membrane to filter drinking water.	该设备使用薄膜过滤饮用水。
exploit	v.	利用；剥削	经济与工作	Companies must not exploit workers to reduce production costs.	企业不得为了降低生产成本而剥削工人。
organism	n.	生物体	环境与能源	Each organism has a role in the local ecosystem.	每个生物体都在当地生态系统中发挥作用。
charter	n.	章程；宪章	社会与政策	The charter sets out the organisation's responsibilities to the public.	章程规定了该组织对公众的责任。
comprise	v.	包括；由……组成	学术与论证	The sample will comprise households from several income groups.	样本将包含来自几个收入群体的家庭。
placement	n.	实习安排；安置	教育与学习	A work placement helps students apply classroom knowledge.	工作实习帮助学生应用课堂知识。
preliminary	adj.	初步的	学术与论证	Preliminary findings suggest that the intervention improves attendance.	初步发现表明该干预措施改善了出勤情况。
patent	n.	专利	科技与研究	The patent protects a new method of storing energy.	该专利保护了一种新的储能方法。
gross	adj.	总的；毛的	经济与工作	Gross income does not account for taxes and other deductions.	总收入未扣除税款和其他扣款。
texture	n.	质地；纹理	科技与研究	The material's texture affects how comfortable it feels.	材料的质地影响其触感的舒适程度。
frontier	n.	前沿；边界	科技与研究	Energy storage is an important frontier in technology research.	储能是技术研究的重要前沿领域。
disclose	v.	披露	经济与工作	Companies must disclose the environmental risks of their operations.	企业必须披露其经营活动的环境风险。
outline	n.	提纲；概述	学术与论证	A clear outline helps writers organise their arguments.	清晰的提纲帮助作者组织论点。
catalogue	n.	目录	文化与交流	The digital catalogue makes historical records easier to find.	数字目录使历史记录更容易查找。
